experiment_id,name,status,description
exp000_data_inventory,data_inventory,PASS,"Metadata inventory and sat_density ZIP inspection completed; raw data remained read-only."
exp000_ingest,ingest,LEGACY,"Historical log/artifacts retained for traceability; not the canonical implementation and not a replacement for exp000_data_inventory."
exp001_sat_density_sample_audit,satellite_density_sample_audit,IN_PROGRESS,"Substep 1.1 PASS and substep 1.2 PASS; substep 1.3 NOT_STARTED pending remote full-archive audit."
exp001.1,metadata_archive_inventory,PASS,"All 8,119 CSV members and five target satellite labels were identified by the recorded inventory run."
exp001.2,controlled_satellite_sample_audit,PASS,"One controlled sample per CHAMP, GRACE1, GRACE2, Swarm-A, and GRACE-FO1; sample-level facts only."
exp001.3,full_archive_schema_time_audit,PLANNED,"Not started. Must audit every available CSV for schema, timestamps, cadence, duplicates, density quality, and both overlap definitions."
exp002_base_timeseries_table,base_timeseries_table,PLANNED,"Blocked until exp001.3 is executed and reviewed."
exp003_density_geo_table,density_geospatial_table,PLANNED,"Blocked until the source of latitude, longitude, and altitude is documented."
exp004_multi_satellite_calibration,multi_satellite_calibration,PLANNED,"Conditional; run only if the reviewed multi-satellite audit demonstrates a need."
exp005_space_weather_join,space_weather_join,PLANNED,"Not started."
exp006_physical_outlier_audit,physical_outlier_audit,PLANNED,"Not started."
exp007_gap_fill_resample,gap_fill_resample,PLANNED,"Not started; no imputation or resampling before earlier gates pass."
exp008_final_model_table,final_model_table,PLANNED,"Not started; every final row must have a reproducible unique id."
